updateDate,symbol,code,code_name,industry,industryClassification
2026-06-22,SH600089,sh.600089,特变电工,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600090,sh.600090,退市济堂,,证监会行业分类
2026-06-22,SH600091,sh.600091,退市明科,,证监会行业分类
2026-06-22,SH600092,sh.600092,S*ST精密,,证监会行业分类
2026-06-22,SH600093,sh.600093,退市易见,,证监会行业分类
2026-06-22,SH600094,sh.600094,大名城,K70房地产业,证监会行业分类
2026-06-22,SH600095,sh.600095,湘财股份,J67资本市场服务,证监会行业分类
2026-06-22,SH600096,sh.600096,云天化,C26化学原料和化学制品制造业,证监会行业分类
2026-06-22,SH600097,sh.600097,开创国际,A04渔业,证监会行业分类
2026-06-22,SH600098,sh.600098,广州发展,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600099,sh.600099,林海股份,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2026-06-22,SH600100,sh.600100,同方股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600101,sh.600101,明星电力,D44电力、热力生产和供应业,证监会行业分类
2026-06-22,SH600102,sh.600102,莱钢股份,,证监会行业分类
2026-06-22,SH600103,sh.600103,青山纸业,C22造纸和纸制品业,证监会行业分类
2026-06-22,SH600104,sh.600104,上汽集团,C36汽车制造业,证监会行业分类
2026-06-22,SH600105,sh.600105,永鼎股份,C38电气机械和器材制造业,证监会行业分类
2026-06-22,SH600106,sh.600106,重庆路桥,G54道路运输业,证监会行业分类
2026-06-22,SH600107,sh.600107,*ST尔雅,C18纺织服装、服饰业,证监会行业分类
2026-06-22,SH600108,sh.600108,亚盛集团,A01农业,证监会行业分类
2026-06-22,SH600109,sh.600109,国金证券,J67资本市场服务,证监会行业分类
2026-06-22,SH600110,sh.600110,诺德股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2026-06-22,SH600111,sh.600111,北方稀土,C32有色金属冶炼和压延加工业,证监会行业分类
2026-06-22,SH600112,sh.600112,*ST天成,,证监会行业分类
2026-06-22,SH600113,sh.600113,浙江东日,L72商务服务业,证监会行业分类
2026-06-22,SH600114,sh.600114,东睦股份,C33金属制品业,证监会行业分类
2026-06-22,SH600115,sh.600115,中国东航,G56航空运输业,证监会行业分类
